fid,NAME,HISTO_1,HISTO_2,HISTO_3,HISTO_4,HISTO_5,HISTO_6,HISTO_8,HISTO_9,HISTO_10,HISTO_11,HISTO_12,HISTO_18,HISTO_20,HISTO_21,HISTO_23,HISTO_24,HISTO_25,HISTO_26,HISTO_27,HISTO_29,HISTO_35,HISTO_40,HISTO_41
1,Mitte,494,190,374,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Moabit,153,187,306,0,54,0,0,0,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Hansaviertel,0,48,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Tiergarten,37,126,72,0,0,0,0,0,257,30,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Wedding,163,267,186,0,1,0,0,0,83,199,0,0,0,0,28,0,0,0,0,0,0,0,0
6,Gesundbrunnen,49,446,68,19,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Friedrichshain,287,379,139,45,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,93,20
8,Kreuzberg,369,446,138,0,0,0,0,0,50,30,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Prenzlauer Berg,504,407,93,7,0,0,0,0,27,59,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Weißensee,45,458,115,0,0,0,0,0,140,37,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Blankenburg,0,378,44,0,0,0,0,0,0,28,126,0,0,30,0,0,0,0,0,0,0,0,0
12,Heinersdorf,0,232,62,5,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Karow,0,482,0,0,0,0,0,0,0,45,89,28,0,6,0,11,0,0,0,0,0,0,0
14,Stadtrandsiedlung Malchow,0,61,25,0,0,0,0,0,0,132,268,62,0,0,0,15,0,0,0,0,0,0,0
15,Pankow,13,470,0,53,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Blankenfelde,0,145,0,0,0,0,68,0,0,95,336,259,0,0,352,0,0,35,0,43,0,0,0
17,Buch,0,229,256,0,0,0,0,0,53,82,97,325,0,0,327,30,298,0,0,128,0,0,0
18,Französisch Buchholz,0,568,3,0,0,0,0,0,0,107,258,163,0,40,0,0,31,0,0,38,0,0,0
19,Niederschönhausen,0,493,70,0,0,0,0,0,64,21,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rosenthal,0,246,1,0,0,0,0,0,34,211,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Wilhelmsruh,0,93,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Charlottenburg,578,184,212,8,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Wilmersdorf,151,513,19,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Schmargendorf,0,273,24,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Grunewald,0,363,0,29,0,0,0,0,0,27,0,0,0,0,269,592,828,0,0,0,0,125,0
26,Westend,34,563,141,37,0,0,0,0,127,391,0,0,0,0,7,10,31,0,0,0,0,10,0
27,Charlottenburg-Nord,3,137,107,0,0,0,0,0,32,325,0,0,0,0,6,0,0,0,0,0,0,0,0
28,Halensee,43,54,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Spandau,30,338,410,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Haselhorst,0,116,202,0,0,0,0,0,34,52,0,0,0,0,0,0,0,0,0,0,0,49,0
31,Siemensstadt,0,98,379,0,0,0,0,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Staaken,0,761,110,0,0,0,0,0,65,67,15,1,0,0,30,31,0,0,0,8,0,0,0
33,Gatow,0,198,2,0,0,0,0,0,0,11,138,294,0,0,57,129,71,0,0,0,0,113,0
34,Kladow,0,506,193,0,0,0,0,0,53,277,0,0,60,0,5,24,40,0,56,0,0,236,29
35,Hakenfelde,0,335,159,0,0,0,0,0,3,86,0,138,0,0,203,463,522,0,0,0,0,132,0
36,Falkenhagener Feld,0,455,68,0,0,0,0,0,112,4,0,0,0,0,0,0,45,0,0,0,0,0,0
37,Wilhelmstadt,0,533,109,0,0,0,0,0,128,79,0,90,0,0,5,0,0,0,0,0,0,68,33
38,Steglitz,47,592,0,2,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Lichterfelde,0,1418,169,0,0,0,0,0,46,80,0,69,0,0,34,0,0,0,0,0,0,0,0
40,Lankwitz,0,617,85,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Zehlendorf,0,1317,22,0,0,0,0,0,44,79,0,0,0,0,65,94,230,0,0,0,0,0,24
42,Dahlem,0,586,59,0,0,0,0,0,0,0,0,0,0,0,37,45,114,0,0,0,0,0,0
43,Nikolassee,0,440,29,0,0,0,0,0,90,103,0,0,0,0,28,516,386,0,0,0,0,233,136
44,Wannsee,0,365,28,0,0,0,0,0,16,280,0,0,0,0,206,426,451,0,0,39,0,333,232
45,Schöneberg,270,415,145,61,0,0,0,0,12,163,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Friedenau,26,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tempelhof,18,507,311,45,0,0,0,0,5,332,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Mariendorf,0,595,166,0,0,0,0,0,43,140,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Marienfelde,0,430,314,0,0,0,0,0,0,78,59,26,0,0,6,0,0,0,0,0,0,0,0
50,Lichtenrade,0,970,5,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0
51,Neukölln,301,390,234,0,0,0,0,22,117,108,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Britz,0,550,145,0,0,0,0,0,36,506,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Buckow,0,597,0,0,0,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0
54,Rudow,0,899,73,0,0,0,0,0,49,140,0,23,0,0,0,0,0,0,0,1,0,0,0
55,Gropiusstadt,0,263,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
56,Alt-Treptow,0,50,53,0,0,0,0,13,110,0,0,0,0,0,0,0,0,0,0,0,0,5,0
57,Plänterwald,0,120,0,0,0,0,0,5,114,61,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Baumschulenweg,0,230,2,0,0,0,0,0,40,161,25,28,0,0,0,0,0,0,0,0,0,1,0
59,Johannisthal,0,303,129,0,0,0,0,0,122,94,2,0,0,0,0,0,0,0,0,0,0,0,0
60,Niederschöneweide,0,136,112,63,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Altglienicke,0,644,20,30,0,0,0,0,23,70,0,0,0,0,0,0,0,0,0,3,0,0,0
62,Adlershof,0,196,289,26,0,0,0,0,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Bohnsdorf,0,466,0,6,0,0,0,0,0,0,49,112,0,0,0,3,0,0,0,26,0,0,0
64,Oberschöneweide,0,193,65,0,0,0,0,0,227,230,0,0,0,0,0,0,0,0,0,0,0,109,0
65,Köpenick,0,1066,101,28,0,0,0,0,253,36,0,0,0,0,120,1079,180,0,0,0,0,123,504
66,Friedrichshagen,0,310,96,3,0,0,0,0,29,74,0,1,0,0,56,638,0,0,0,0,0,32,166
67,Rahnsdorf,0,507,11,0,0,0,0,0,0,50,0,0,0,0,142,1053,138,0,0,0,0,0,237
68,Grünau,0,160,0,37,0,0,0,0,0,0,0,0,0,0,14,557,37,0,0,0,0,29,78
69,Müggelheim,0,354,0,0,0,0,0,0,0,0,0,128,0,0,226,1343,0,0,0,0,0,78,98
70,Schmöckwitz,0,231,0,0,0,0,0,0,0,0,0,0,0,0,16,920,53,0,0,0,0,131,349
71,Marzahn,0,930,557,83,0,0,0,0,65,281,0,0,0,0,29,0,0,0,0,0,0,0,0
72,Biesdorf,0,884,134,2,0,0,0,0,28,113,0,0,0,0,33,0,0,0,0,53,0,0,0
73,Kaulsdorf,0,736,0,0,0,0,0,0,26,29,12,36,0,0,0,31,0,0,0,0,0,0,0
74,Mahlsdorf,0,1166,49,0,0,0,0,0,0,50,37,2,0,0,0,0,0,0,0,0,0,0,0
75,Hellersdorf,0,639,20,0,0,0,0,0,74,77,1,0,0,0,0,0,0,0,0,0,0,0,0
76,Friedrichsfelde,0,401,35,7,0,0,0,0,0,142,0,0,0,0,1,0,0,0,0,0,0,0,0
77,Karlshorst,0,371,74,0,0,0,0,0,16,165,0,0,0,0,0,0,0,0,0,26,0,0,0
78,Lichtenberg,6,286,352,14,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Falkenberg,0,62,0,0,0,0,0,0,8,84,0,127,0,0,0,0,0,0,0,0,25,0,0
80,Malchow,0,52,0,0,0,0,0,0,38,14,4,1,0,0,0,0,0,0,0,44,0,0,0
81,Wartenberg,0,108,0,0,0,0,0,0,0,120,285,136,0,0,0,0,0,0,0,40,1,0,0
82,Neu-Hohenschönhausen,0,349,39,0,0,0,0,0,81,29,13,1,0,0,0,0,0,0,0,8,0,0,0
83,Alt-Hohenschönhausen,0,544,260,0,0,0,0,0,37,93,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Fennpfuhl,0,179,24,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Rummelsburg,10,178,113,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18
86,Reinickendorf,0,676,186,0,0,6,0,0,81,100,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Tegel,0,602,161,0,0,462,0,0,0,227,0,0,0,0,256,142,1084,0,0,0,0,3,437
88,Konradshöhe,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,0
89,Heiligensee,0,560,34,0,0,0,0,0,0,83,0,57,0,0,26,100,86,0,0,0,0,34,86
90,Frohnau,0,545,0,0,0,0,0,0,0,27,0,0,0,0,78,85,51,0,0,0,0,0,0
91,Hermsdorf,0,487,0,0,0,0,0,0,0,12,0,0,0,0,0,10,49,0,0,0,45,0,0
92,Waidmannslust,0,185,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Lübars,0,192,2,0,0,0,0,0,0,84,102,95,0,0,6,0,0,0,0,0,16,0,0
94,Wittenau,0,417,124,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Märkisches Viertel,0,266,27,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Borsigwalde,0,93,103,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
